authors,title
The New York Times,"The Latest: Theresa May’s Next Move, and ‘Brexit’ Questions"
"Steven Erlanger,Katrin Bennhold,Stephen Castle",The British Election That Somehow Made Brexit Even Harder
Sewell Chan,How a Record Number of Migrants Made Their Way to Europe
Melissa Eddy,Angela Merkel Sets Collision Course With Trump Ahead of G-20
Adam Nossiter,French Lawmaker’s Fall Over Harassment Claims May Hold Lesson for Men: Behave
Gardiner Harris,"Visiting Europe, Obama Warns Against Rise of ‘Crude Sort of Nationalism’"
Neil Macfarquhar,A Powerful Russian Weapon: The Spread of False Stories
"Patrick Kingsley,Raphael Minder",Catalonia Separatism Revives Spanish Nationalism
"Aurelien Breeden,Alissa J. Rubin",French Court Acquits Dominique Strauss-Kahn in Case That Put His Sex Life on View
Alison Smale,Germany’s Small Towns Feel the Cost of Europe’s Migrant Crisis
"Steven Erlanger,Alison Smale",Migrant Influx May Give Europe’s Far Right a Lift
Katrin Bennhold,Migrants in Germany Fleeing Poverty Find Only a Ticket Home
"Alison Smale,Victor Homola",Merkel Defies Conservative Critics of Her Refugee Policy
Raphael Minder,Catalan Officials Are Squeezed as Madrid Tries to Stop Independence Vote
Katrin Bennhold,Defining Refugees Versus Migrants in Germany
Raphael Minder,Catalonia Showdown Tests Spanish Leader’s Instinct for Survival
"Doreen Carvajal,Maïa De La Baume",Dominique Strauss-Kahn Says Lust Is Not a Crime
Raphael Minder,Catalan Police Face Their Own Test of Independence
Alison Smale,Germany to Withdraw Forces From Incirlik Base in Turkey
Alison Smale,Trump and Obama Visited Europe. One Got a Warm Welcome.
Andrew Higgins,"In Estonia, Caution but Surprising Cheers for Trump’s Victory"
Patrick Kingsley,Erdogan Claims Vast Powers in Turkey After Narrow Victory in Referendum
Peter Baker,Trump Says NATO Allies Don’t Pay Their Share. Is That True?
Gardiner Harris,"‘American Democracy Is Bigger Than Any One Person,’ Obama Says"
Mark Landler,Blind Spots in Trump’s Trade Tirade Against Germany
Andrew Higgins,"Migrants Who Survived Shipwreck Are Grateful, but Disillusioned"
"Rick Lyman,Alison Smale","As Europe Grasps for Answers, More Migrants Flood Its Borders"
"Melissa Eddy,Katarina Johannsen",Migrants Arriving in Germany Face a Chaotic Reception in Berlin
Raphael Minder,Catalonia’s Leader Seeks Talks in Standoff With Spain
"Rick Lyman,Steven Erlanger,Aurelien Breeden","A Steady Flow Staggers Into Europe, Outpacing Pledges of Shelter"
Alison Smale,"Merkel, While Refusing to Halt Migrant Influx, Works to Limit It"
Raphael Minder,Spanish Premier Insists Vote on Catalan Independence Will Not Happen
Sewell Chan,"No End in Sight to Tide of Migrants Entering Europe, U.N. Says"
James Kanter,E.U. Leaders Say Common Ground Reached on Migrant Crisis
Raphael Minder,Protest in Catalonia Adds to Pressure Before Independence Vote
"Steven Erlanger,Melissa Eddy","Angela Merkel Makes History in German Vote, but So Does Far Right"
Alison Smale,Germany Refuses Turkey’s Request to Spy on Opponents of Erdogan
Alison Smale,Referendum Inflames Concerns Over Turkey’s Grip in Germany
"Patrick Kingsley,Alissa J. Rubin",Turkey’s Relations With Europe Sink Amid Quarrel With Netherlands
Patrick Kingsley,A Threat on Migration That May Prove to Be Empty
Patrick Kingsley,"Inside Turkey: The Crackdown, and the Loyalist"
Raphael Minder,Catalonia Overwhelmingly Votes for Independence From Spain in Straw Poll
"Alison Smale,Steven Erlanger","Merkel, After Discordant G-7 Meeting, Is Looking Past Trump"
Melissa Eddy,Germany 101: Refugees Get Guidebook to Their New Home
"Rick Lyman,Alison Smale",Migrant Smuggling in Europe Is Now Worth ‘Billions’
Raphael Minder,Separatists in Catalonia Win Narrow Majority in Regional Elections
"Steven Erlanger,Dan Bilefsky",Migrant Chaos Mounts While Divided Europe Stumbles for Response
Suzanne Daley,Thousands of Migrants Stranded in Greece as Route North Is Narrowed
,Explaining the Rules for Migrants: Borders and Asylum
Somini Sengupta,Migrant Crisis Raises Issues of Refugees’ Rights and Nations’ Obligations
Patrick Kingsley,Erdogan Warns Europeans on Their Safety as Tensions Rise With West
Alissa J. Rubin,Erdogan Calls Dutch ‘Nazi Remnants’ After Turkish Minister Is Barred
Melissa Eddy,"Blunting the Far Right, Merkel Gains as German Election Nears"
,"Angela Merkel, Meeting With Erdogan in Turkey, Emphasizes Free Speech"
Patrick Kingsley,"Inside Turkey: The Crackdown, and the Loyalist"
Russell Goldman,"‘You Are the Future of Europe,’ Erdogan Tells Turks"
"Robert Mackey,Open Source",Nationalists in Finland Hurl Rocks at Iraqis Seeking Asylum
Patrick Kingsley,"A Message From Turkey, a Nation Under Pressure"
Adam Nossiter,Marine Le Pen Echoes Trump’s Bleak Populism in French Campaign Kickoff
The New York Times,"What’s in the E.U. Deal With Turkey? Controls, Concessions and Swaps"
"Michael D. Shear,Coral Davenport",World Leaders Increase Pressure on Trump to Stay in the Paris Accord
"Alison Smale,James Kanter",President Erdogan’s Authoritarian Tilt Threatens Visa Deal With Europe
"Somini Sengupta,Hwaida Saad","As Refugees Flee, Thousands of Children Have No Country to Call Their Own"
,European Leaders Grapple With Response to Migrant Crisis
"Michael D. Shear,Mark Landler",Trump Ends Trip Where He Started: At Odds With Allies and Grilled on Russia
Steven Erlanger,"Facing Migrant Crisis, E.U. Makes a Dubious Deal With Turkey"
Sewell Chan,E.U. Warns Turkey in Escalating Dispute Over Constitutional Referendum
Somini Sengupta,U.N. Secretary General Criticizes Hungary’s Treatment of Migrants
"Helene Bienvenu,Rick Lyman",Hungary Blocks Migrants in Border Crackdown
"Katrin Bennhold,Stephen Castle",Deadly Attack Near U.K. Parliament; Car Plows Victims on Westminster Bridge
The New York Times,The Arc of a Coup Attempt in Turkey
"Tim Arango,Ceylan Yeginsu,Ben Hubbard",Vast Purge in Turkey as Thousands Are Detained in Post-Coup Backlash
Ben Hubbard,Lesbos Turns From Vacation Island to ‘Main Point of Entry’ for Migrants
"Tim Arango,Ben Hubbard","Turkey Pursues Cleric Living in U.S., Blamed as Coup Mastermind"
Alison Smale,Marine Le Pen Extols Far Right During Speech in Germany
"Steven Erlanger,Kimiko De Freytas-Tamura",E.U. Faces Its Next Big Test as France’s Election Looms
"Rick Lyman,Helene Bienvenu","Migrants Clash With Police in Hungary, as Others Enter Croatia"
Adam Nossiter,"Fillon Scandal Indicts, Foremost, France’s Political Elite"
,Making the Crossing to Lesbos
"Mark Landler,Michael D. Shear","Mild in Mideast, Trump Is All Elbows in a Europe Eager to Jab Back"
The New York Times,"Highlights: In Brussels, Trump Scolds Allies on Cost-Sharing, and Stays Vague on Article 5"
Katrin Bennhold,"Migrant Children, Arriving Alone and Frightened"
"Michael D. Shear,Coral Davenport",World Leaders Increase Pressure on Trump to Stay in the Paris Accord
Rick Lyman,A Wintry Sea Seems a Safer Bet Than Life at Home for Refugees
"Eric Schmitt,Dan Bilefsky",Turkey Interrupts U.S. Air Missions Against ISIS at Major Base
"Tim Arango,Ceylan Yeginsu","As Turkey Coup Unfolded, ‘the Whole Night Felt Like Doomsday’"
The New York Times,Tumult in Turkey: What We Know and Don’t Know
James Kanter,E.U. and U.S. Urge Erdogan to Show Restraint After Coup Attempt in Turkey
"Tim Arango,Ceylan Yeginsu",Turkish President Returns to Istanbul in Sign Military Coup Is Faltering
"Hannah Olivennes,Ceylan Yeginsu,Gerry Mullany",London Attack Leaves Citizens of 10 Nations Dead or Injured
Rick Lyman,Eastern Bloc’s Resistance to Refugees Highlights Europe’s Cultural and Political Divisions
,Srebrenica: 21st Anniversary of Europe’s Worst Postwar Massacre
,Heavy Toll in Nice
Sabrina Tavernise,Turkish Leader Erdogan Making New Enemies and Frustrating Old Friends
Adam Nossiter,François Fillon Wins Center-Right Nomination for French Presidency
Aurelien Breeden,"Graft Allegations Grow Against François Fillon, French Presidential Hopeful"
Rick Lyman,Regulating Flow of Refugees Gains Urgency in Greece and Rest of Europe
Adam Nossiter,"François Fillon, French Presidential Hopeful, Faces Inquiry Over Payments to Wife"
Adam Nossiter,"After Trump Win, Parallel Path Is Seen for Marine Le Pen of France’s Far Right"
,Making the Crossing to Lesbos
Suzanne Daley,"On Island of Lesbos, a Microcosm of Greece’s Other Crisis: Migrants"
"Max Fisher,Amanda Taub,The Interpreter",Turkey Was an Unlikely Victim of an Equally Unlikely Coup
David E. Sanger,U.S. Finds Itself on Shakier Ground as Erdogan Confronts Mutiny
"Steven Erlanger,Alissa J. Rubin","London Attack Echoes, Faintly, in a Europe Anxious but Inured"
"Robert Mackey,Open Source","As More Children Drown, Volunteers on Lesbos Say Rescues Are Left Largely to Them"
Rick Lyman,Winter Poses New Danger for Migrants
,Heavy Toll in Nice
,Srebrenica: 21st Anniversary of Europe’s Worst Postwar Massacre
"Alison Smale,Rick Lyman,Anemona Hartocollis",Migrants Cross Austria Border From Hungary
"Tim Arango,Sabrina Tavernise,Ceylan Yeginsu",Victims in Istanbul Airport Attack Reflect City’s International Character
Barbara Surk,"Stranded in Cold Rain, a Logjam of Migrants in the Balkans"
"Melissa Eddy,Rick Lyman,Alison Smale",Germany Orders Curbs at Border in Migrant Crisis
"Dan Bilefsky,Kimiko De Freytas-Tamura,Hannah Olivennes,Ceylan Yeginsu",Toll of London Attack Is Global for an Assailant Born in Britain
Adam Nossiter,A French Minister Who Attracts Applause and Anger Considers a Bigger Stage
Adam Nossiter,Nicolas Sarkozy Is Out as François Fillon Takes Surprise Lead in French Primary
"Ceylan Yeginsu,Rukmini Callimachi","Turkey Says Airport Bombers Were From Kyrgyzstan, Russia and Uzbekistan"
Adam Nossiter,Marine Le Pen’s Anti-Islam Message Gains Influence in France
Adam Nossiter,"For Marine Le Pen, Migration Is a Ready-Made Issue"
"Max Fisher,The Interpreter",French Election Hints at a European Shift Toward Russia
,Making the Crossing to Lesbos
James Kanter,Europe Nears Accord With Turkey to Stem Tide of Refugees
Anemona Hartocollis,Migrants in Kos Inspire Both Hospitality and Anger in Greeks
"Neil Macfarquhar,Steven Erlanger",NATO-Russia Tensions Rise After Turkey Downs Jet
,Heavy Toll in Nice
Ben Hubbard,"Waves of Young Syrian Men Bring Hope, and a Test, to Europe"
,Srebrenica: 21st Anniversary of Europe’s Worst Postwar Massacre
"Robert Mackey,Open Source",Tourists on Greek Island Join Local Volunteers to Aid Refugees
The New York Times,The Refugee Crisis: What It Means for Europe
Dan Bilefsky,Brussels Commemorates Attack Anniversary With Both Silence and Noise
"Prashant S. Rao,Amie Tsang",‘Defiant’ in the Face of Terrorism: Londoners After the Attack
"Alissa J. Rubin,Stephen Castle","Top Suspect in Paris Attacks Had Traveled to Britain, Officials Say"
Alissa J. Rubin,Paris: One Year On
"Melissa Eddy,Alison Smale","Berlin Crash Is Suspected to Be a Terror Attack, Police Say"
"Adam Nossiter,Hannah Olivennes","Jacques Hamel, 85, a Beloved French Priest, Killed in His Church"
"Alissa J. Rubin,Adam Nossiter,Christopher Mele","Scores Die in Nice, France, as Truck Plows Into Bastille Day Crowd"
Melissa Eddy,Afghan Teenager Spoke of Friend’s Death Before Ax Attack in Germany
Nick Cumming-Bruce,"Croatia, Macedonia and Serbia Start Screening Refugees by Nationality"
Tim Arango,Raids and Graft Inquiry in Turkey Are Seen by Some as Muslim Cleric’s Plot
Ben Hubbard,Many Turks Prefer Even Flawed Democracy to Coup
,Tumult in Turkey: The Key Players
"Barbara Surk,Stephen Castle",Migrants Diverted to Slovenia After Hungary Closes Border
"Alison Smale,Kimberly Bradley",Refugees Across Europe Fear Repercussions From Paris Attacks
"Katrin Bennhold,Stephen Castle",Deadly Attack Near U.K. Parliament; Car Plows Victims on Westminster Bridge
Adam Nossiter,François Fillon Wins Center-Right Nomination for French Presidency
Gardiner Harris,John Kerry Rejects Suggestions of U.S. Involvement in Turkey Coup
Doreen Carvajal,Paris Museums and Nightclubs Show Signs of Recovery After Attacks
Alissa J. Rubin,Benoît Hamon Wins French Socialist Party’s Presidential Nomination
Melissa Eddy,German Police Kill Assailant After Ax Attack Aboard a Train
The New York Times,"Truck Attack in Nice, France: What We Know, and What We Don’t"
Andrew Higgins,"In Nice, a Vibrant Celebration Gives Way to a Trail of Death"
"Alison Smale,Rick Lyman",Attacker’s Possible Link to Migrant Trail Heightens Security Fears
"Andrew Higgins,Kimiko De Freytas-Tamura",Paris Attacks Suspect Killed in Shootout Had Plotted Terror for 11 Months
,"What Happened in the Truck Attack in Nice, France"
"Alison Smale,Barbara Surk",Paris Attacks Complicate Europe’s Already Strained Border Controls
"Rick Lyman,Alison Smale",Paris Attacks Shift Europe’s Migrant Focus to Security
Caryn A. Wilson,Week of Violence Rattles Germany
,"A Trail of Terror in Nice, Block by Block"
Celestine Bohlen,"Soldiers Calm French Nerves, but Are Paying a Steep Price"
Hanna Ingber,Share Your Thoughts: How Should We Balance Civil Liberties and National Security?
"Lilia Blaise,Liz Alderman,Aurelien Breeden",France Unsure if Raid Killed Top Suspect in Paris Attacks
"Steven Erlanger,Peter Baker","For France, an Alliance Against ISIS May Be Easier Said Than Done"
"Adam Nossiter,Rick Gladstone","Paris Attacks Kill More Than 100, Police Say; Border Controls Tightened"
The New York Times,Unraveling the Connections Among the Paris Attackers
Dan Bilefsky,Paris Victim Nohemi Gonzalez Was Pursuing Her Dreams in Design
Aurelien Breeden,French Investigators Seek Possible Accomplices in Plot to Attack Church
Julie Hirschfeld Davis,Attacks in Paris Add Urgency to Talks on Ending Syria War
Adam Nossiter,"A Shot, a Glimpse of an AK-47, and U.S. Servicemen Pounced on Gunman on Train to France"
Aurelien Breeden,"Attacker in Nice Plotted for Months and Had Accomplices, French Prosecutor Says"
"Alissa J. Rubin,Lilia Blaise","A Third of Nice Truck Attack’s Dead Were Muslim, Group Says"
"Michael D. Shear,Peter Baker",Obama Says Strategy to Fight ISIS Will Succeed
Katrin Bennhold,Paris Attacks Highlight Jihadists’ Easy Path Between Europe and ISIS Territory
"Elian Peltier,Milan Schreuer",Leaders of France and Belgium Seek Tougher Security Measures
"Max Fisher,The Interpreter","Attack in Nice, France, Represents Terrorism’s New Reality"
"Alan Cowell,Maïa De La Baume",France Deploys Troops to Guard ‘Sensitive Sites’
Andrew Higgins,Belgium Confronts the Jihadist Danger Within
"Alison Smale,Rick Lyman",Attacker’s Possible Link to Migrant Trail Heightens Security Fears
"Josh Keller,Haeyoun Park,Jeremy White",How the Organizer of the Paris Attacks Slipped Through Authorities’ Hands
"Adam Nossiter,Andrew Higgins",‘Scene of Carnage’ Inside Sold-Out Paris Concert Hall
"Liz Alderman,Jim Yardley",Paris Terror Attacks Leave Awful Realization: Another Massacre
Aurelien Breeden,Student Arrested on Suspicion of Planning Attack in France
"Peter Baker,Eric Schmitt",Paris Terror Attacks May Prompt More Aggressive U.S. Strategy on ISIS
"Lilia Blaise,Liz Alderman,Aurelien Breeden",France Unsure if Raid Killed Top Suspect in Paris Attacks
"Alissa J. Rubin,Lilia Blaise",Terror Through the Eyes of Innocents: The Children in Nice
"Andrew Higgins,Kimiko De Freytas-Tamura,Katrin Bennhold","In Suspects’ Brussels Neighborhood, a History of Petty Crimes and Missed Chances"
The New York Times,"Three Hours of Terror in Paris, Moment by Moment"
"Liz Alderman,Jim Yardley",Paris Terror Attacks Leave Awful Realization: Another Massacre
Alissa J. Rubin,Attack in Nice Turns Spotlight on City’s Religious Divisions
"David E. Sanger,Nicole Perlroth",Encrypted Messaging Apps Face New Scrutiny Over Possible Role in Paris Attacks
Rukmini Callimachi,"In Truck Attack in Nice, Mainstay of Commerce Reinvented as Tool of Death"
Aurelien Breeden,Student Arrested on Suspicion of Planning Attack in France
The New York Times,"Truck Attack in Nice, France: What We Know, and What We Don’t"
Andrew Higgins,Belgium Deploys Troops After Foiling Possible Plot
James Kanter,2 Suspects Killed in Gun Battle in Belgian Antiterror Raid
Rukmini Callimachi,"ISIS Claims Responsibility, Calling Paris Attacks ‘First of the Storm’"
"Maïa De La Baume,Dan Bilefsky",France Vows Forceful Measures Against Terrorism
"James Kanter,Andrew Higgins",Belgium Offers Partial IDs of 2 Killed in Police Raid
Jim Yardley,Jihadism Born in a Paris Park and Fueled in the Prison Yard
"Robert Mackey,Open Source",Murdoch and Fox News Mocked on Twitter for Claims About Muslims
"Stephen Castle,Robert Mackey",Fox News Beats a Retreat After Gaffes About Islam
"Dan Bilefsky,Maïa De La Baume",French Premier Declares ‘War’ on Radical Islam as Paris Girds for Rally
Dan Bilefsky,"Fear on Rise, Jews in France Weigh an Exit"
"Mark Mazzetti,Eric Schmitt","In the Age of ISIS, Who’s a Terrorist, and Who’s Simply Deranged?"
"Alissa J. Rubin,Aurelien Breeden",ISIS Claims Truck Attacker in France Was Its ‘Soldier’
Andrew Higgins,France Agonizes Over Whether Truck Rampage Could Have Been Stopped
"Alissa J. Rubin,Anne Barnard",France Strikes ISIS Targets in Syria in Retaliation for Attacks
The New York Times,Victims of the Terror Attacks in Paris
"Adam Nossiter,Aurelien Breeden,Katrin Bennhold","Three Teams of Coordinated Attackers Carried Out Assault on Paris, Officials Say; Hollande Blames ISIS"
,Attacks in Central Paris
Andrew Higgins,French Police Say Suspect in Attack Evolved From Petty Criminal to Terrorist
Maïa De La Baume,French Premier Says ‘Apartheid’ Is Leaving Minorities on the Fringe
The New York Times,Readers in Europe Respond to the Paris Attacks
"Robert Mackey,Open Source",Paris Mayor Plans to Sue Fox Over False Reports of ‘No-Go Zones’
Aurelien Breeden,French Inquiry Urges Changes to Intelligence Services in Light of Failures
Ben Hubbard,Jihadists and Supporters Take to Social Media to Praise Attack on Charlie Hebdo
"Liz Alderman,Dan Bilefsky",Huge Show of Solidarity in Paris Against Terrorism
"Robert Mackey,Open Source",Muslim Employee of Kosher Market in Paris Praised for Hiding Customers From Gunman
Neil Macfarquhar,Mystery Deepens Over Russian Plane Crash in Egypt
Andrew Higgins,A Surly Misfit With No Terror Links Turned a Truck Into a Tank
Liz Alderman,"After Terrorist Attacks, Many French Muslims Wonder: What Now?"
,Attacks in Central Paris
,Tracking the Aftermath of the Charlie Hebdo Attack
Steven Erlanger,"In Cold Political Terms, Far Right and French President Both Gain"
"Andrew Higgins,Dan Bilefsky",Charlie Hebdo Suspects Dead in Raid; Hostage Taker in Paris Is Also Killed
Alissa J. Rubin,"For Hateful Comic in France, Muzzle Becomes a Megaphone"
Celestine Bohlen,"Parisians Fear Terror Attacks Will Divide, Not Unite, the City"
"Andrew Higgins,James Kanter",E.U. Urges Cooperation to Combat Terrorism
Alissa J. Rubin,"The Arrest of Salah Abdeslam, a Paris Suspect, Ends Manhunt, Not Questions"
Rukmini Callimachi,"In Truck Attack in Nice, Mainstay of Commerce Reinvented as Tool of Death"
Andrew Roth,"In Retort to Paris, Chechens Denounce ‘Permissiveness’"
Aurelien Breeden,Paris Bombing Suspect Refuses to Cooperate With Investigation
"Rukmini Callimachi,Jim Yardley",Chérif and Saïd Kouachi’s Path to Paris Attack at Charlie Hebdo
Alissa J. Rubin,Belgian Court Jails Islamic State Cell Leaders for Foiled Plot
Aurelien Breeden,French Authorities Given Broader Powers to Fight Terrorism
"Dan Bilefsky,Maïa De La Baume",France Shooting Suspect Seen as a Home-Grown Militant
,Attacks in Central Paris
"Steven Erlanger,Dan Bilefsky",Police Hunt for Suspects in Paris Attack as Nation Mourns
"Dan Bilefsky,Maïa De La Baume","Terrorists Strike Charlie Hebdo Newspaper in Paris, Leaving 12 Dead"
"Steven Erlanger,Jim Yardley",Why Reams of Intelligence Did Not Thwart the Paris Attacks
"Alison Smale,James Kanter","As Europe Moves Aggressively Against Terrorism, New Challenges Emerge"
Jodi Rudoren,Israelis Link Attacks to Their Own Struggles
,Belgium: Convict’s Request for Assisted Suicide Is Rejected
Alissa J. Rubin,"Man in Hat in Brussels Airport Attack Is in Custody, Belgium Says"
Aurelien Breeden,"Alongside ‘Je Suis Charlie,’ Slain Officer Inspires His Own Social Media Refrain"
The New York Times,Victims of the Terror Attacks in Paris
,Unity March in Paris
Benoît Morenne,Paris Bridge of Love Locks Now One of Sculptures
Ravi Somaiya,"Stéphane Charbonnier, Known as Charb, Relished Defying Mores"
Scott Sayare,Concern Over an Increasingly Seen Gesture Grows in France
Adam Nossiter,French Proposal to Strip Citizenship Over Terrorism Sets Off Alarms
Dan Bilefsky,Charlie Hebdo Cartoonist Who Depicted Muhammad After Attack to Leave
